8a;PHOENIX;src/television/testbild.png
8b;Bayerisches FS;src/television/testbild.png
8c;SWR Fernsehen RP;src/television/testbild.png
22a;ZDF;src/television/ZDF.jpg
22b;3sat;src/television/testbild.png
22c;ZDFinfokanal;src/television/testbild.png
22d;Doku/KiKa;src/television/testbild.png
30a;3sat;src/television/testbild.png
30b;ZDF;src/television/ZDF.jpg
30c;ZDFinfokanal;src/television/testbild.png
30d;Doku/KiKa;src/television/testbild.png
34a;RTL Television;src/television/testbild.png
34b;RTL2;src/television/testbild.png
34c;Super RTL;src/television/testbild.png
34d;VOX;src/television/testbild.png
37a;Das Erste;src/television/testbild.png
37b;hr-fernsehen;src/television/testbild.png
37c;arteEinsExtra;src/television/testbild.png
44a;Bayerisches FS;src/television/testbild.png
44b;hr-fernsehen;src/television/testbild.png
44c;SWR Fernsehen RP;src/television/testbild.png
44d;WDR Fernsehen;src/television/testbild.png
54a;kabel eins;src/television/testbild.png
54b;N24;src/television/testbild.png
54c;ProSieben;src/television/testbild.png
54d;SAT.1;src/television/testbild.png
57a;arte;src/television/arte.png
57b;Phoenix;src/television/testbild.png
57c;EinsPlus;src/television/testbild.png
57d;Das Erste;src/television/testbild.png
64a;TELE 5;src/television/testbild.png
64b;Eurosport;src/television/testbild.png
64c;rheinmaintv;src/television/testbild.png
64a;Disney Channel;src/television/testbild.png
